,Date of Designation,City,Country,"Date of
Incident",Description
228,"May 8, 2012",Karbala,Iraq,"January 20, 2007",Armed attack
229,"March 22, 2012",East Jerusalem, ,"September 29, 2000",Assault
230,"February 29, 2012",Frankfurt,Germany,"March 2, 2011",Armed attack
231,"February 22, 2012",Kabul,Afghanistan,"August 29, 2004",Bombing
232,"February 22, 2012",Mosul,Iraq,"April 10, 2009",Bombing
233,"February 18, 2012","Yathrib, Salah ad Din",Iraq,"November 1, 2007",Bombing
234,"February 18, 2012",Jolo Island,Philippines,"September 29, 2009",Bombing
235,"February 10, 2012",Varanasi,India,"December 7, 2010",Bombing
236,"August 5, 2011","Anapu, Para",Brazil,"February 12, 2005",Murder
237,"May 19, 2011", ,Nigeria,"May 8, 2007",Kidnapping
238,"March 3, 2011",Jerusalem, ,"December 18, 2010",Murder
239,"September 23, 2010",Kabul,Afghanistan,"October 28, 2009",Murder
240,"August 31, 2010",Palawan,Philippines,"May 26, 2001",Kidnapping/Murder
241,"August 31, 2010",Jerusalem, ,"January 27, 2002",Bombing
242,"August 31, 2010", ,West Bank,"March 24, 2002",Murder
243,"August 31, 2010",Zamboanga City,Philippines,"October 2, 2002",Bombing
244,"August 31, 2010", ,West Bank,"November 20, 2000",Bombing
245,"August 31, 2010",Sidon,Lebanon,"November 21, 2002",Murder
246,"August 12, 2010",Badakhshan Province,Afghanistan,"August 7, 2010",Murder
247,"August 6, 2010",Sharm ash Shaykh,Egypt,"July 23, 2005",Bombing
248,"August 6, 2010",Bali,Indonesia,"October 1, 2005",Bombing
249,"August 5, 2010",Delta,Nigeria,"January 11, 2006",Kidnapping
250,"August 5, 2010",Karachi,Pakistan,"March 2, 2006",Bombing
251,"August 5, 2010",Riyadh,Saudi Arabia,"November 8, 2003",Bombing
252,"August 5, 2010",Jerusalem, ,"August 19, 2003",Bombing
253,"August 5, 2010", ,Venezuela,"February 14, 1997",Kidnapping
254,"August 5, 2010",Herat,Afghanistan,"May 18, 2006",Bombing
255,"August 5, 2010",Gaza City,Gaza Strip,"August 14, 2006",Kidnapping
256,"August 5, 2010",Hat Yai,Thailand,"September 16, 2006",Bombing
257,"August 5, 2010",Al Khartoum,Sudan,"January 1, 2008",Murder
258,"August 5, 2010",Netanya,Israel,"March 27, 2002",Bombing
259,"August 5, 2010","Riyadh, Ar Riyad",Saudi Arabia,"June 12, 2004",Kidnapping/Murder
260,"August 5, 2010",Riyadh,Saudi Arabia,"June 12, 2004",Armed attack
261,"August 5, 2010","Port Harcourt, Rivers",Nigeria,"August 13, 2006",Kidnapping
262,"July 27, 2010", ,Yemen,"January 23, 2001",Hijacking
263,"July 27, 2010", ,West Bank,"May 29, 2001",Murder
264,"July 27, 2010",Jerusalem, ,"November 4, 2001",Murder
265,"July 27, 2010",Bayt Sahur,West Bank,"January 15, 2002",Murder
266,"July 27, 2010",Ariel,West Bank,"March 7, 2002",Bombing
267,"July 27, 2010",Jerusalem, ,"March 9, 2002",Bombing
268,"July 27, 2010",Efrat,West Bank,"March 31, 2002",Bombing
269,"July 27, 2010",Jerusalem, ,"June 19, 2002",Bombing
270,"July 27, 2010",Amman,Jordan,"October 28, 2002",Murder
271,"July 27, 2010",Jerusalem, ,"May 19, 2003",Bombing
272,"July 27, 2010",Jakarta,Indonesia,"August 5, 2003",Bombing
273,"July 25, 2010", ,West Bank,"May 13, 1996",Murder
274,"July 23, 2010",Zekharya,Israel,"June 9, 1996",Murder
275,"July 23, 2010",East Jerusalem, ,"October 30, 2000",Murder
276,"July 23, 2010",Al-Khobar,Saudi Arabia,"October 6, 2001",Murder
277,"July 23, 2010",Karachi,Pakistan,"June 14, 2002",Bombing
278,"July 23, 2010",Jerusalem, ,"March 21, 2002",Bombing
279,"July 23, 2010",Kuwait City,Kuwait,"January 21, 2003",Armed attack
280,"July 23, 2010",Haifa,Israel,"March 5, 2003",Bombing
281,"July 23, 2010",Qiryat Arba,West Bank,"March 7, 2003",Armed attack
282,"July 23, 2010",Baghdad,Iraq,"October 26, 2003",Bombing
283,"July 23, 2010",Baghdad,Iraq,"December 31, 2003",Bombing
284,"July 23, 2010",Madrid,Spain,"March 11, 2004",Bombing
285,"July 23, 2010",Yanbu'al Bahr,Saudi Arabia,"May 1, 2004",Armed attack
286,"July 23, 2010",Riyadh,Saudi Arabia,"June 8, 2004",Murder
287,"July 12, 2010",Kampala,Uganda,"July 11, 2010",Coordinated bombings
288,"July 6, 2010", ,Yemen,"December 28, 1998",Kidnapping
289,"July 6, 2010",Bangkok,Thailand,"October 1, 1999",Hostage taking
290,"July 6, 2010",Bucaramanga,Colombia,"April 12, 1999",Hostage Taking
291,"July 6, 2010", ,Nigeria,"June 27, 1999",Kidnapping
292,"July 6, 2010", ,Colombia,"February 24, 1997",Kidnapping
293,"July 6, 2010", ,Sierra Leone,"August 4, 1999",Kidnapping
294,"July 6, 2010",Boyacá,Colombia,"March 23, 1999",Kidnapping
295,"July 6, 2010", ,Colombia,"December 23, 1999",Kidnapping
296,"July 6, 2010",Kara-Su Valley,Kyrgyzstan,"August 12, 2000",Kidnapping
297,"June 28, 2010",Adana,Turkey,"February 7, 1991",Shooting
